codigo_cliente,sexo_cliente,intervalo_medio
1735,F,74
2417,M,9
7070,F,85
1070,F,36
3984,M,16
5149,F,21
11346,F,51
1118,M,236
1191,F,162
5113,F,48
7976,F,41
14370,F,75
526,F,99
2685,M,9
4605,F,69
10488,F,36
12606,F,296
5902,M,71
9783,F,50
1232,M,30
13228,F,125
1502,F,66
2488,M,233
6410,M,58
3660,F,103
6721,M,56
1035,M,44
2094,M,69
12283,F,210
14244,F,37
4636,F,76
5381,F,43
7583,M,144
9544,M,137
2715,F,38
8755,F,42
21306,F,165
25385,F,0
90,M,47
951,F,58
3971,F,93
7032,M,126
11972,F,34
1376,F,23
1460,M,211
3494,F,14
2716,M,186
3691,F,41
10717,M,80
21223,F,88
868,F,42
1968,M,90
6949,M,163
10830,F,218
3183,F,103
4283,M,82
735,F,59
2633,M,60
7677,F,85
8516,M,18
11756,F,95
3247,F,103
